Clasificación,Entidad,Nombre del sitio,Dominio,Sitio activo,CMS,IP servidor,Certificado de seguridad,Estatus proyecto,Comentarios
AG,CEED,Centro de Estudios Estratégicos Para el Desarrollo,https://ceed.udg.mx/,Sí,WordPress, 148.202.34.55,Activo,2da etapa,
AG,CEED,Centro de Estudios Estratégicos Para el Desarrollo,https://ceed1.udg.mx/,Sí,D7, 148.202.34.55,Activo,2da etapa,
AG,CENCULT,Feria Internacional del Libro de Guadalajara,https://www.fil.com.mx/,Sí,Otro,Externo,Activo,2da etapa,Microsoft ASP.NET
AG,CENCULT,Editorial Universitaria ,https://editorial.udg.mx/,Sí,Otro,Externo,Activo,2da etapa,Magneto
AG,CENCULT,El Taller del Chucho,https://www.tallerdelchucho.com/,Sí,Wix,148.202.34.54,Activo,2da etapa,
AG,CENCULT,Librería Carlos Fuentes,https://www.libreriacarlosfuentes.mx/es,Sí,D9,Externo,Activo,2da etapa,
AG,CENCULT,Ciencia de la Ciudad ,http://www.cslab.udg.mx/,Sí,D9,,Activo,2da etapa,
AG,CENCULT,UDG 3D,https://udg3d.com/,Sí,Otro,,Activo,2da etapa,Vlive worlds
AG,CENPRO,Uniterra,https://uniterra.com.mx/,Sí,Otro, 148.202.34.55,Activo,2da etapa,WebFlow
AG,CENPRO,CENPRO,https://cenproudg.mx/,Sí,WordPress,,Activo,2da etapa,
AG,CENPRO,Hotel Villa Primavera,https://hotelvillaprimavera.hotelesudg.com/,No,WordPress,Externo,Activo,2da etapa,Página inaccesible
AG,CENPRO,Operación de Servicios Integrales,https://www.osiudg.mx/,Sí,WordPress,148.202.34.54,Activo,2da etapa,
AG,CENPRO,PROULEX Centro de Idiomas,https://www.proulex.com/,Sí,WordPress,Externo,Activo,2da etapa,
AG,CENPRO,Club Deportivo UDG,https://clubdeportivo.hotelesudg.com/,No,WordPress,Externo,Activo,2da etapa,Página Inaccesible
AG,CENPRO,Hoteles UDG,https://hoteles.udg.mx/,Sí,WordPress,Externo,Activo,2da etapa,
AG,CENPRO,Centro Cultural Universitario,https://centrocultural.org.mx/,Sí,WordPress,Externo,Activo,2da etapa,
AG,CGAI,Coordinación General Académica y de Innovación,https://cgai.udg.mx/,Sí,D10,148.202.34.140,Activo,Migrado y publicado,
AG,CGAI,Coordinación General Académica y de Innovación - PROESDE,https://proesde.udg.mx/,Sí,D10,148.202.34.140,Activo,NA,
CUyS,CUAAD,Letras Para Volar,http://www.letrasparavolar.org/,No,WordPress,148.202.248.76,No tiene,,Antes de la CGAI. Página Inaccesible
AG,CGAI,Coordinación de Internacionalización,https://ci.cgai.udg.mx/,Sí,D10,148.202.248.76,Activo,NA,
AG,CGAI,Guía de Carreras,https://guiadecarreras.udg.mx/,Sí,WordPress, 148.202.34.55,Activo,,
AG,CGAI,Red de Educadores en Emprendimiento,http://www.seeprogram.cgci.udg.mx/,Sí,D7,148.202.248.67,No tiene,Eliminado,Ticket 38492
AG,CGAI,Portal de Programas Educativos de Pregrado,http://www.pregrado.udg.mx/,Sí,D7,148.202.248.67,No tiene,,
AG,CGAI,Programa Emergente de Atención a Repatriados de Estados Unidos de América,http://www.estudiantesrepatriados.udg.mx/,Sí,D7,148.202.248.67,No tiene,,
AG,CGAI,Red Regional para el Fomento de la Internacionalización de la Educación Superior en América Latina,http://www.erasmusplusriesal.org/,Sí,D7,148.202.248.67,No tiene,,
AG,CGAI,Eduroam,http://www.eduroam.udg.mx/,Sí,D7,148.202.248.67,No tiene,,
AG,CGAI,Sistema de Registro FLIP,https://registro.flip.cga.udg.mx/,Sí,PHP,148.202.248.67,Activo,,
AG,CGAI,Coordinación de Desarrollo Académico,http://cda.cgai.udg.mx/,Sí,D10,148.202.34.94,No tiene,Eliminado,Ticket 38492
CUyS,CUAAD,Letras para Volar - APP,http://app.letrasparavolar.org/admin/security/login,Sí,PHP,148.202.248.67,No tiene,,Antes de la CGAI
AG,CGAI,FLIP - UdeG,https://flip.cga.udg.mx/,Sí,WordPress, ,Activo,,
AG,CGAI,Cursos Online UDG,http://www.cursosonline.udg.mx/,Sí,D9,,No tiene,,
AG,CGAI,Coordinacion de Desarrollo Académico ,http://alfresco.udgcloud.udg.mx/,Sí,D10,,No tiene,NA,
AG,CGAI,Coordinacion de Desarrollo Académico ,http://repositoriosgsi.cgti.udg.mx/,Sí,D10,,No tiene,NA,
AG,CGAI,Coordinacion de Desarrollo Académico ,http://repositoriosgsi.cgsait.udg.mx/,Sí,D10,,No tiene,NA,
AG,CGAI,Coordinación de Desarrollo Académico,www.ciep.cga.udg.mx,No,D10,148.202.34.141,No tiene,Eliminado,Página inaccesible Ticket 38492
AG,CGAI,TUTORÍAS,sit.udg.mx,Sí,Otro,148.202.34.142,No tiene,,JAVA/PLSQL
AG,CGAI,App - backend,148.202.248.67/webapp,Sí,PHP,,No tiene,,
AG,CGAI,Sistema del Plan de Acción Tutorial,http://sepat.udg.mx/,No,PHP,,No tiene,,Página Inaccesible
AG,CGAI,Comunidades Digitales para el Aprendizaje en Educación Superior,www.codaes.udg.mx,No,PHP,,No tiene,,
CUyS,CUCSH,Cátedra Fernando del Paso,fdelpaso.udg.mx,No,PHP,,No tiene,,Antes de la CGAI. Página Inaccesible
CUyS,CUCEA,Cátedra UNESCO de la Juventud,148.202.248.71/ciju,No,PHP,,No tiene,,Antes de la CGAI. Página Inaccesible
AG,CGAI,Programa Institucional de Formación y Actualización Docente,pifad.cgai.udg.mx,No,PHP,,No tiene,,Página Inaccesible
AG,CGAI,Seminario de Innovación Educativa Liderazgo y Literacidad,seminario.cda.cgai.udg.mx,No,PHP,,No tiene,,Página Inaccesible
AG,CGAI,Sistema de Justicia Penal,justiciapenal.udg.mx,No,PHP,,No tiene,,Página Inaccesible
AG,CGAI,Pragmática preuniversitaria,148.202.248.71/pragmatica,No,PHP,,No tiene,,Página Inaccesible
AG,CGAI,Conectáctica,conectactica.udg.mx,No,PHP,,No tiene,Eliminado,Página Inaccesible Ticket 38492
AG,CGAI,Copa Leones de Debate,copaleones.udg.mx,No,PHP,,No tiene,Eliminado,Página Inaccesible Ticket 38492
AG,CGAI,Página de UdeGames,udegames.udg.mx,No,PHP, ,No tiene,,Página Inaccesible
AG,CGAI,Página del Encuentro para la Innovación y Gestión Académica,encuentro.cda.cgai.udg.mx,No,PHP,,No tiene,,Página Inaccesible
AG,CGAI,Segundo Encuentro de Movilidad Intercentros: Formación integral y ciudadanía responsable,movilidad.cda.cgai.udg.mx,No,PHP,,No tiene,,Página Inaccesible
